,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
66,MINISTOP(미니스톱),동서)티오피스무스라떼240,음료,1200,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_206.jpg
67,MINISTOP(미니스톱),동원)더킹랍스터맛140g,식품,1933,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_33.jpg
68,MINISTOP(미니스톱),동원)리얼새우봉55g,식품,800,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_04.jpg
69,MINISTOP(미니스톱),동원)리얼킹치즈후랑크,식품,1333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_19.jpg
70,MINISTOP(미니스톱),동원)상상버터오징어,식품,3133,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_54.jpg
71,MINISTOP(미니스톱),동원)상상스테이크마블육포,식품,3200,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_53.jpg
72,MINISTOP(미니스톱),동원)친친오리지널70g,식품,700,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_05.jpg
73,MINISTOP(미니스톱),동원고추참치,식품,2400,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_153.jpg
74,MINISTOP(미니스톱),동원들기름김3P,식품,400,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_156.jpg
75,MINISTOP(미니스톱),동원리챔120g,식품,1750,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_101.jpg
76,MINISTOP(미니스톱),동원리챔200g,식품,2750,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_102.jpg
77,MINISTOP(미니스톱),동원리챔340g,식품,3400,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_103.jpg
78,MINISTOP(미니스톱),드라이왁스가는모발용,생활용품,4950,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_61.jpg
79,MINISTOP(미니스톱),드림카카오용기56%,과자류,2000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_102.jpg
80,MINISTOP(미니스톱),드링킹요구르트플레인,음료,1267,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_200.jpg
81,MINISTOP(미니스톱),디즈니물티슈10매,생활용품,800,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_77.jpg
82,MINISTOP(미니스톱),떡붕어싸만코,아이스크림,1200,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_183.jpg
83,MINISTOP(미니스톱),라베르플랑대형4P,생활용품,2667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_74.jpg
84,MINISTOP(미니스톱),라베르플랑중형4P,생활용품,2333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_75.jpg
85,MINISTOP(미니스톱),라베스트크림치즈케이크콘,아이스크림,1667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_185.jpg
86,MINISTOP(미니스톱),라이스크리스피초코맛,과자류,600,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_133.jpg
87,MINISTOP(미니스톱),라이언물티슈80매,생활용품,3000,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_81.jpg
88,MINISTOP(미니스톱),라인프렌즈물티슈20매,생활용품,1333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_78.jpg
89,MINISTOP(미니스톱),라인프렌즈물티슈60매,생활용품,3333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_81.jpg
90,MINISTOP(미니스톱),런닝메이트100ml병,음료,2500,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_133.jpg
91,MINISTOP(미니스톱),레쓰비연유커피240캔,음료,800,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_249.jpg
92,MINISTOP(미니스톱),레쓰비카페타임모닝커피,음료,667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_262.jpg
93,MINISTOP(미니스톱),레알감자1000,과자류,500,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_97.jpg
94,MINISTOP(미니스톱),렌지에고등어구이,식품,2667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_05.jpg
95,MINISTOP(미니스톱),로아커초콜릿밀크,과자류,1250,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_94.jpg
96,MINISTOP(미니스톱),록키마운틴마시멜로,과자류,2000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_120.jpg
97,MINISTOP(미니스톱),롯데)마늘앤뽀득프랑크140g,식품,2200,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_15.jpg
98,MINISTOP(미니스톱),롯데)목단비국화차500펫,음료,1000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_251.jpg
99,MINISTOP(미니스톱),롯데)쁘띠몽쉘치즈베리2000,과자류,1333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_129.jpg
100,MINISTOP(미니스톱),롯데)의성마늘비엔나꼬치,식품,1533,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_13.jpg
101,MINISTOP(미니스톱),롯데)의성마늘프랑크140g,식품,2133,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_14.jpg
102,MINISTOP(미니스톱),롯데)칙촉티라미수,과자류,1600,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_130.jpg
103,MINISTOP(미니스톱),롯데)키스틱55g,식품,1067,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_24.jpg
104,MINISTOP(미니스톱),리스테린쿨민트,생활용품,1267,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_72.jpg
105,MINISTOP(미니스톱),리츠샌드위치크래커(치즈),과자류,1267,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_149.jpg
106,MINISTOP(미니스톱),리츠크래커1500,과자류,1000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_148.jpg
107,MINISTOP(미니스톱),리콜라레몬민트2000,과자류,1333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_105.jpg
108,MINISTOP(미니스톱),리큐진한겔일반2L,생활용품,7500,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_30.jpg
109,MINISTOP(미니스톱),립톤밀크티240캔,음료,867,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_265.jpg
110,MINISTOP(미니스톱),립톤크러쉬,과자류,1000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_182.jpg
111,MINISTOP(미니스톱),마다가스카르바닐라콘,아이스크림,2533,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_188.jpg
