,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
305,CU(씨유),면)미트토마토파스타,식품,2600,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068377804.jpg
306,CU(씨유),명도)레알감자23g,과자류,500,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8809394830956.jpg
307,CU(씨유),미성)바비립캔디,과자류,500,1+1,http://bgf-cu.xcache.kinxcdn.com/product/6939495521858.jpg
308,CU(씨유),미성)오키오구미복숭아,과자류,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/9556437014635.jpg
309,CU(씨유),바나실)면마스크검정색,생활용품,1333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809471231270.jpg
310,CU(씨유),바나실)면마스크흰색,생활용품,1333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809471231287.jpg
311,CU(씨유),바디)내몸에순한면대16입,생활용품,5267,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/F49824F79EE74FD0BD993157EB8DA352.jpg
312,CU(씨유),바디)내몸에순한면중18입,생활용품,5267,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809299234828.jpg
313,CU(씨유),바디)내몸에순한면중4입,생활용품,1333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/B678105A71C242ECA7EC8514A9C58D04.jpg
314,CU(씨유),바디)볼록맞춤울날중4입,생활용품,1033,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/14EE467729134029913FF956BE9AB112.jpg
315,CU(씨유),바디)순간흡수울날중4입,생활용품,1033,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/6758A0C0046141D49CE00B7382A54D03.jpg
316,CU(씨유),바디)순한면슈퍼롱3입,생활용품,2333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/ABE2DE12747E4802BD295A7BDEE77D3C.jpg
317,CU(씨유),본죽)단호박죽,식품,2400,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809310071364.jpg
318,CU(씨유),본죽)쇠고기죽,식품,2400,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809310070411.jpg
319,CU(씨유),본죽)통단팥죽,식품,2400,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809310071371.jpg
320,CU(씨유),빙그레)곤약젤리망고패션,식품,1000,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104664295.jpg
321,CU(씨유),빙그레)곤약젤리피치자두,식품,1000,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104664318.jpg
322,CU(씨유),빙그레)끌레도르바닐라바,아이스크림,1333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/84A839841BDC4BC8998B7C533AB67192.jpg
323,CU(씨유),빙그레)끌레도르블루베리,아이스크림,1333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104663175.jpg
324,CU(씨유),빙그레)끌레도르쿠키크림,아이스크림,1333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/2C8E884CCC5547B0A6B1A314DD1A7EF9.jpg
325,CU(씨유),빙그레)끌레도르크림치즈,아이스크림,1333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/A7981BBD6C7344828C680A7ABE6FA33C.jpg
326,CU(씨유),빙그레)농부의선물190ml,음료,800,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104665674.jpg
327,CU(씨유),빙그레)떡붕어싸만코,아이스크림,1200,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104306928.jpg
328,CU(씨유),빙그레)메로나코코넛,아이스크림,500,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104664554.jpg
329,CU(씨유),빙그레)부드러운빵또아,아이스크림,1200,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104307048.jpg
330,CU(씨유),빙그레)비비빅흑임자바,아이스크림,800,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104664158.jpg
331,CU(씨유),빙그레)뽀로로젤리,과자류,600,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/0862D432C0DA4FF1BAFF412CDAB2813B.jpg
332,CU(씨유),빙그레)뿌려먹는모짜렐라,식품,667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104665506.jpg
333,CU(씨유),빙그레)슈퍼콘딸기,아이스크림,900,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104664271.jpg
334,CU(씨유),빙그레)슈퍼콘초코,아이스크림,900,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104304351.jpg
335,CU(씨유),빙그레)아카페라UP라떼350,음료,1467,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/1AE4A87FB05F4E8D840C59AD39BC1F4B.jpg
336,CU(씨유),빙그레)아카페라UP스윗350,음료,1467,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/8953E9A6B98240E9835EB93A5683B767.jpg
337,CU(씨유),빙그레)아카페라UP아메350,음료,1467,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/B24A424F4EC94D41904990318A474873.jpg
338,CU(씨유),빙그레)아카페라바닐라P,음료,1067,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/99DB22912FE24B2A84CE9D52B8281BD3.jpg
339,CU(씨유),빙그레)아카페라카라멜P,음료,1067,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/CC874E4350AA488C9492FE62A9A787B8.jpg
340,CU(씨유),빙그레)오프룻딸기컵,음료,1267,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104273602.jpg
341,CU(씨유),빙그레)오프룻복숭아컵,음료,1267,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104303989_빙그레)오프룻복숭아컵.jpg
342,CU(씨유),빙그레)쥬시쿨감귤에이드,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104308489.jpg
343,CU(씨유),빙그레)쥬시쿨사과에이드,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104308502.jpg
344,CU(씨유),빙그레)쥬시쿨젤리자두,과자류,600,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/804A4B9EA3B5473FB9BD813406A30A19.jpg
345,CU(씨유),빙그레)쥬시쿨젤리청포도,과자류,600,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/57896F38496F4FC1B2699EF19CB1DE6A.jpg
346,CU(씨유),빙그레)크림치즈롤케익,과자류,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801104664882.jpg
347,CU(씨유),빽다방)바니바닐라떼P300,음료,1267,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/8254484433EC429F914A245D45EF699F.jpg
348,CU(씨유),빽다방)황금라떼P300,음료,1267,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/5F0AEB2A220C4F6EB8C0DE76599AA0C5.jpg
349,CU(씨유),사조)구운육포,식품,2533,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801039001745.jpg
350,CU(씨유),사조)오리지널육포,식품,2533,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801039939772.jpg
351,CU(씨유),사조)한입피자고르곤졸라,식품,1267,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801066056732.jpg
352,CU(씨유),사조)한입피자콤비네이션,식품,1267,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801066056619.jpg
353,CU(씨유),삼립)오븐에구운도넛,식품,600,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068377705.jpg
354,CU(씨유),삼양)마라오징어,식품,3000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801073311121.jpg
